id_season,team_id,season_name,country,championship_name,team_code,team_logo,attacking_overall__played,attacking_overall__goals,attacking_overall__xg,attacking_overall__goals_vs_xg,attacking_overall__shots,attacking_overall__sot,attacking_overall__conv_pct,attacking_overall__xg_per_shot,attacking_set_pieces__goals,attacking_set_pieces__shots,attacking_set_pieces__xg,attacking_set_pieces__goal_pct,attacking_set_pieces__shot_pct,attacking_set_pieces__xg_pct,attacking_misc__touches_in_box,attacking_misc__hit_post,attacking_misc__offsides,attacking_misc__penalties__total,attacking_misc__penalties__goals,attacking_misc__free_kicks__total,attacking_misc__free_kicks__goals,attacking_misc__headers__total,attacking_misc__headers__goals,attacking_misc__fast_breaks__total,attacking_misc__fast_breaks__goals,passing__avg_poss,passing__all_passes__pct,passing__final_third_passes__successful,passing__final_third_passes__pct,passing__pass_direction__fwd,passing__pass_direction__bwd,passing__pass_direction__left,passing__pass_direction__right,passing__crosses__total,passing__crosses__successful,passing__crosses__pct,passing__through_balls,pressing__pressed_seqs,pressing__ppda,pressing__start_distance_m,pressing__total,pressing__high_turnovers__shot_ending,pressing__high_turnovers__goal_ending,pressing__high_turnovers__pct_end_in_shot,sequences__ten_plus_passes,sequences__direct_speed,sequences__passes_per_seq,sequences__sequence_time,sequences__build_ups__total,sequences__build_ups__goals,sequences__direct_attacks__total,sequences__direct_attacks__goals,misc.__subs_used,misc.__subs_goals,misc.__errors_lead_to_shot,misc.__errors_lead_to_goal,misc.__fouled,misc.__yellows,misc.__reds,misc.__pens_won,misc.__fouls,misc.__opp_yellows,misc.__opp_reds,misc.__pens_conceded,defending_overall__goals,defending_overall__xg,defending_overall__goals_vs_xg,defending_overall__shots,defending_overall__sot,defending_overall__conv_pct,defending_overall__xg_per_shot,defending_overall__shots_in_box_pct,defending_overall__goals_in_box_pct,defending_set_pieces__goals,defending_set_pieces__shots,defending_set_pieces__xg,defending_set_pieces__goal_pct,defending_set_pieces__shot_pct,defending_set_pieces__xg_pct,defending_defensive_actions__avg_poss,defending_defensive_actions__tackles,defending_defensive_actions__interceptions,defending_defensive_actions__recoveries,defending_defensive_actions__blocks,defending_defensive_actions__clearances,defending_defensive_actions__ground_duels_won,defending_defensive_actions__aerial_duels_won,defending_misc__touches_in_box,defending_misc__hit_post,defending_misc__offsides,defending_misc__penalties__total,defending_misc__penalties__goals,defending_misc__free_kicks__total,defending_misc__free_kicks__goals,defending_misc__headers__total,defending_misc__headers__goals,defending_misc__fast_breaks__total,defending_misc__fast_breaks__goals,attacking_set_pieces__goals_vs_xg,attacking_set_pieces__sot,attacking_set_pieces__conv_pct,attacking_set_pieces__xg_per_shot
1,2338,2025/26,France,Ligue 1,Paris FC,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=8v00fx2zwhiwm05tqqkt122p5,34,1.38,1.32,0.06,11.68,3.97,11.84,0.11,0.32,2.85,0.24,23.4,24.43,18.14,21.32,0.38,2.15,0.18,0.15,0.09,0.0,1.56,0.06,1.41,0.21,50.4,84.9,75.97,72.0,31.8,16.1,26.1,26.1,11.53,2.65,23.0,1.44,9.35,15.1,40.3,5.85,1.0,0.03,17.09,12.0,1.69,4.02,10.99,1.97,0.06,1.65,0.15,4.79,0.35,0.97,0.38,9.91,1.94,0.15,0.18,10.0,1.53,0.09,0.35,1.47,1.64,-0.17,12.44,3.97,11.82,0.13,68.09,92.0,0.35,4.06,0.39,24.0,32.62,23.98,50.4,16,8,48,4,27,49.9,46.3,24.44,0.26,1.65,0.35,0.24,0.5,0.0,2.41,0.24,0.82,0.09,,,,
1,427,2025/26,France,Ligue 1,Toulouse,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=4aghw9tyi8ba3ju1ne83gmf9w,34,1.38,1.29,0.1,12.53,4.21,11.03,0.1,0.29,3.97,0.35,21.28,31.69,26.85,24.47,0.29,1.06,0.21,0.12,0.18,0.0,2.82,0.21,0.88,0.06,42.2,81.6,67.38,67.0,34.4,13.9,25.8,25.9,9.59,2.09,21.8,0.94,11.0,13.2,44.2,7.59,1.24,0.12,16.28,7.29,2.01,3.16,8.56,1.62,0.0,1.41,0.15,4.15,0.35,0.74,0.12,10.32,2.26,0.15,0.21,13.26,1.82,0.09,0.15,1.35,1.27,0.08,11.88,3.91,11.39,0.11,60.64,84.78,0.29,3.03,0.23,21.74,25.5,17.78,42.2,16,9,46,4,23,46.9,52.0,21.12,0.18,1.21,0.15,0.15,0.35,0.03,2.12,0.26,1.32,0.12,,,,
1,1395,2025/26,France,Ligue 1,Nice,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=bx0cdmzr2gwr70ez72dorx82p,34,1.09,1.28,-0.19,11.24,3.94,9.69,0.11,0.15,3.09,0.32,13.51,27.49,24.7,19.62,0.15,1.79,0.09,0.09,0.24,0.0,2.26,0.09,0.79,0.18,46.3,82.7,66.35,67.0,33.7,15.0,25.6,25.7,13.56,3.03,22.3,1.82,9.44,13.9,41.1,5.94,1.0,0.09,16.83,8.5,1.83,3.48,9.36,1.35,0.06,1.68,0.06,4.76,0.21,0.94,0.15,11.0,1.94,0.09,0.09,11.59,1.91,0.09,0.29,1.76,1.75,0.01,14.97,5.18,11.79,0.12,63.85,86.67,0.29,3.94,0.31,16.67,26.33,17.81,46.3,16,10,51,4,25,48.9,48.5,27.32,0.29,0.91,0.29,0.24,0.12,0.03,2.85,0.26,1.41,0.24,,,,
1,141,2025/26,France,Ligue 1,Le Havre,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=23pqcgxu1tip265hbe01kszbt,34,0.94,1.13,-0.19,10.94,3.65,8.6,0.1,0.18,3.12,0.22,18.75,28.49,19.34,17.56,0.38,2.03,0.18,0.06,0.35,0.0,2.26,0.18,0.82,0.12,46.8,81.0,59.09,64.1,34.4,14.9,25.3,25.4,15.88,3.41,21.5,0.47,10.56,11.6,41.0,6.09,1.15,0.06,18.84,6.18,2.03,3.18,8.79,1.12,0.0,1.41,0.09,4.56,0.09,0.56,0.06,13.32,1.97,0.12,0.18,13.03,1.97,0.12,0.24,1.29,1.51,-0.22,13.0,4.18,9.95,0.12,67.65,90.91,0.21,3.62,0.3,15.91,27.83,19.82,46.8,17,9,48,4,25,50.9,53.4,25.94,0.32,1.97,0.24,0.18,0.32,0.0,2.53,0.24,0.59,0.03,,,,
1,430,2025/26,France,Ligue 1,Nantes,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=750ustvk4jfqmo8q4gnrcxy7z,34,0.85,1.07,-0.22,11.03,3.24,7.73,0.1,0.18,4.12,0.29,20.69,37.33,26.96,20.29,0.44,1.24,0.12,0.06,0.38,0.0,2.06,0.12,0.94,0.12,42.5,79.1,50.12,60.7,37.1,14.0,24.5,24.3,10.88,2.41,22.2,0.91,9.38,14.7,40.4,5.41,0.85,0.09,15.76,5.41,2.01,2.88,7.69,0.76,0.03,1.71,0.03,4.38,0.09,0.79,0.21,13.09,1.94,0.06,0.12,11.76,2.21,0.12,0.15,1.53,1.42,0.11,13.15,4.74,11.63,0.11,69.35,84.62,0.32,3.44,0.27,21.15,26.17,19.09,42.5,17,9,45,4,25,50.6,50.8,24.94,0.18,2.82,0.15,0.15,0.24,0.03,2.38,0.12,1.0,0.26,,,,
1,138,2025/26,France,Ligue 1,Auxerre,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=9bxav814mkuhueiyivyive82d,34,1.0,1.06,-0.06,10.71,3.5,9.34,0.1,0.29,3.0,0.27,29.41,28.02,25.84,17.76,0.29,1.32,0.15,0.09,0.15,0.0,1.65,0.15,1.41,0.06,43.9,80.3,74.21,68.2,36.1,16.9,23.6,23.5,10.62,1.94,18.3,0.91,10.97,13.3,41.2,6.12,1.12,0.03,18.27,6.88,1.77,3.08,8.41,1.21,0.09,1.79,0.06,3.94,0.0,0.71,0.15,12.85,1.82,0.21,0.15,12.62,2.47,0.15,0.15,1.29,1.43,-0.13,11.97,4.65,10.81,0.12,65.36,81.82,0.21,3.65,0.28,15.91,30.47,19.47,43.9,18,10,49,3,22,51.6,47.8,21.03,0.18,1.59,0.15,0.09,0.21,0.03,2.03,0.21,0.65,0.12,,,,
1,145,2025/26,France,Ligue 1,Metz,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=2khen2a38l2hkx33s73pehl6o,34,0.94,1.03,-0.08,10.06,3.18,9.36,0.1,0.18,2.82,0.21,18.75,28.07,20.69,16.32,0.21,1.32,0.18,0.15,0.21,0.03,1.53,0.15,0.85,0.09,48.9,85.9,67.65,72.7,30.3,17.0,26.3,26.5,13.62,2.97,21.8,0.88,8.29,15.7,38.8,4.94,0.85,0.09,17.26,12.15,1.62,4.01,11.57,1.35,0.09,1.29,0.09,4.44,0.18,0.94,0.21,10.56,1.56,0.12,0.18,10.82,1.47,0.06,0.24,2.24,1.84,0.39,15.32,5.74,14.59,0.12,64.11,78.95,0.35,4.12,0.33,15.79,26.87,18.02,48.9,17,8,46,4,23,50.4,46.4,28.53,0.26,1.59,0.24,0.21,0.47,0.0,2.5,0.24,1.18,0.15,,,,
1,2128,2025/26,France,Ligue 1,Angers,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=75qj99fhg5c0ztj2tva5u4uii,34,0.85,0.95,-0.1,9.29,3.26,9.18,0.1,0.09,2.38,0.16,10.34,25.63,16.74,16.15,0.12,1.74,0.15,0.09,0.18,0.0,1.44,0.06,1.03,0.15,41.9,82.6,54.5,69.1,33.6,14.1,26.0,26.2,11.44,2.38,20.8,0.85,7.35,17.7,38.5,5.12,0.88,0.06,17.24,7.85,1.98,3.41,8.99,1.21,0.03,1.74,0.12,4.68,0.32,0.79,0.12,10.44,1.47,0.06,0.15,10.24,1.18,0.12,0.18,1.41,1.64,-0.23,14.41,5.5,9.8,0.11,63.47,87.5,0.21,3.88,0.37,14.58,26.94,22.31,41.9,18,9,50,3,23,49.6,47.5,25.44,0.29,1.18,0.18,0.09,0.53,0.0,2.53,0.06,0.91,0.12,,,,
2,156,2025/26,Germany,Bundesliga,Bayern München,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=apoawtpvac4zqlancmvw4nk4o,34,3.59,2.97,0.62,19.18,8.5,18.71,0.15,0.65,3.44,0.38,18.03,17.94,12.82,41.03,0.74,2.44,0.35,0.32,0.47,0.06,1.74,0.38,1.47,0.35,67.4,90.2,190.74,82.7,26.8,16.8,28.0,28.3,10.26,2.32,22.6,3.97,13.76,10.3,44.5,9.71,2.12,0.35,21.82,24.76,1.64,5.42,14.04,6.38,0.44,2.53,0.32,4.68,0.59,0.94,0.32,8.56,1.65,0.06,0.35,8.26,1.5,0.12,0.09,1.06,1.25,-0.19,10.59,3.12,10.0,0.12,67.78,88.89,0.38,2.59,0.27,36.11,24.44,21.48,67.4,13,8,52,4,17,47.8,51.5,18.88,0.26,1.85,0.09,0.06,0.21,0.03,1.38,0.18,1.26,0.15,,,,
2,6339,2025/26,Germany,Bundesliga,Leipzig,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=9gefq4dz9b2hl8rqrxwrlrzmp,34,1.94,1.99,-0.05,15.79,6.0,12.29,0.13,0.38,4.26,0.41,19.7,27.0,20.85,33.5,0.68,1.41,0.09,0.03,0.32,0.03,2.59,0.26,1.15,0.15,53.9,84.7,92.09,71.5,29.4,14.5,28.0,28.1,11.03,2.5,22.7,2.26,11.32,13.6,42.7,7.24,1.26,0.18,17.48,12.41,1.86,3.73,10.11,2.82,0.21,1.85,0.12,4.71,0.12,0.79,0.18,9.85,1.53,0.0,0.09,8.82,1.74,0.0,0.09,1.38,1.5,-0.12,12.15,3.97,11.38,0.12,69.49,95.74,0.24,3.32,0.35,17.02,27.36,23.66,53.9,15,9,51,4,27,51.1,48.6,22.53,0.21,2.18,0.09,0.06,0.29,0.0,2.0,0.21,1.12,0.26,,,,
2,164,2025/26,Germany,Bundesliga,Leverkusen,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=7ad69ngbpjuyzv96drf8d9sn2,34,2.0,1.93,0.07,15.18,5.18,13.18,0.13,0.47,3.82,0.35,23.53,25.19,17.98,27.74,0.44,1.26,0.24,0.21,0.62,0.09,2.41,0.38,1.56,0.38,59.2,88.2,127.0,79.3,27.5,17.6,27.7,27.3,12.82,2.68,20.9,1.94,10.15,13.2,41.7,7.06,1.21,0.32,17.08,19.71,1.6,4.91,12.85,4.26,0.24,1.74,0.18,4.53,0.21,0.91,0.21,10.53,1.94,0.06,0.24,8.21,2.35,0.15,0.21,1.38,1.36,0.02,12.79,5.0,10.8,0.11,65.06,80.85,0.38,3.5,0.28,27.66,27.36,20.56,59.2,14,7,50,3,21,51.5,53.2,23.35,0.32,1.03,0.21,0.21,0.32,0.03,2.26,0.26,1.35,0.21,,,,
2,157,2025/26,Germany,Bundesliga,Dortmund,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=dt4pinj0vw0t0cvz7za6mhmzy,34,2.06,1.88,0.18,13.06,4.79,15.77,0.14,0.56,3.79,0.44,27.14,29.05,23.65,27.47,0.29,1.18,0.26,0.18,0.26,0.0,3.03,0.44,1.06,0.24,53.2,84.3,110.29,73.1,30.9,15.0,26.1,28.1,13.82,3.09,22.3,1.47,12.5,12.4,43.9,8.29,1.41,0.12,17.02,13.0,1.88,3.84,9.87,2.47,0.09,1.38,0.15,4.68,0.5,0.79,0.12,9.62,1.85,0.06,0.26,11.21,1.47,0.09,0.15,1.0,1.17,-0.17,10.65,3.53,9.39,0.11,68.23,91.18,0.21,3.26,0.35,20.59,30.66,30.36,53.2,14,8,50,3,24,48.5,52.5,19.68,0.21,2.41,0.15,0.15,0.18,0.0,2.09,0.15,0.85,0.0,,,,
2,169,2025/26,Germany,Bundesliga,Stuttgart,https://omo.akamai.opta.net/image.php?secure=true&h=omo.akamai.opta.net&sport=football&entity=team&description=badges&dimensions=150&id=3dwlvz6cl4lcavvrg0y2dycrt,34,2.09,1.77,0.32,15.21,6.09,13.73,0.12,0.24,3.56,0.3,11.27,23.4,16.77,28.32,0.15,2.03,0.21,0.15,0.32,0.0,2.5,0.18,0.97,0.15,57.8,84.1,109.06,73.4,31.3,15.7,27.1,25.9,15.06,4.03,26.8,1.88,12.44,11.8,43.1,7.15,1.47,0.18,20.58,12.5,1.77,3.89,10.26,2.62,0.09,1.85,0.24,4.79,0.5,0.79,0.21,11.79,1.85,0.06,0.21,9.18,1.5,0.09,0.29,1.44,1.51,-0.07,12.68,4.76,11.37,0.12,70.53,93.88,0.15,3.5,0.24,10.2,27.61,16.02,57.8,14,8,48,4,26,54.5,54.3,24.47,0.29,1.68,0.29,0.26,0.24,0.0,2.21,0.09,1.44,0.32,,,,
